epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2697.87,0.7215,0.44529,0.85894,0.93569,0.79431,0.85199,0.68237,0.65926,0.39376,0.84616,0.0005941,0.0005941,0.0005941
43,2808.88,0.71987,0.44463,0.8596,0.92296,0.78301,0.84118,0.66873,0.67224,0.40242,0.84836,0.0005842,0.0005842,0.0005842
44,2853.85,0.71395,0.43855,0.85604,0.93266,0.79647,0.85726,0.68148,0.65784,0.38741,0.84467,0.0005743,0.0005743,0.0005743
45,2898.49,0.71714,0.43928,0.85773,0.9367,0.78918,0.85038,0.67765,0.65929,0.39324,0.84681,0.0005644,0.0005644,0.0005644
46,2980.5,0.71294,0.43996,0.85636,0.93499,0.78081,0.85357,0.68018,0.65176,0.39023,0.84468,0.0005545,0.0005545,0.0005545
47,3023.4,0.70709,0.43414,0.85583,0.90242,0.80378,0.85226,0.6851,0.65333,0.38797,0.8448,0.0005446,0.0005446,0.0005446
48,3065.41,0.71348,0.43662,0.8571,0.89223,0.80756,0.85389,0.68094,0.65326,0.38823,0.84486,0.0005347,0.0005347,0.0005347
49,3196.22,0.70987,0.43498,0.85741,0.93907,0.80085,0.85652,0.68126,0.6535,0.39046,0.84514,0.0005248,0.0005248,0.0005248
50,3239.33,0.70306,0.42938,0.85443,0.90205,0.80462,0.84693,0.67934,0.65576,0.39012,0.84598,0.0005149,0.0005149,0.0005149
51,3289.18,0.70236,0.43025,0.85514,0.89669,0.81176,0.85728,0.68459,0.64831,0.38212,0.84367,0.000505,0.000505,0.000505
52,3333.43,0.70107,0.42952,0.8543,0.92319,0.79996,0.85962,0.68626,0.65015,0.38648,0.84254,0.0004951,0.0004951,0.0004951
53,3377.51,0.69714,0.42431,0.85192,0.89738,0.80972,0.85799,0.68938,0.64139,0.3796,0.84102,0.0004852,0.0004852,0.0004852
54,3432.35,0.69144,0.42449,0.85125,0.93536,0.80393,0.86253,0.69343,0.63705,0.37593,0.83995,0.0004753,0.0004753,0.0004753
55,3683.54,0.69421,0.42235,0.85206,0.90814,0.80875,0.85441,0.68827,0.63879,0.37779,0.84083,0.0004654,0.0004654,0.0004654
56,3816.49,0.69132,0.42118,0.85303,0.93947,0.78629,0.85552,0.69029,0.63913,0.3823,0.84158,0.0004555,0.0004555,0.0004555
57,3860.18,0.68944,0.41948,0.85271,0.93554,0.79638,0.85617,0.69109,0.63401,0.37261,0.84039,0.0004456,0.0004456,0.0004456
58,3922.19,0.68719,0.41801,0.85016,0.93875,0.79389,0.85902,0.69676,0.63145,0.37123,0.83898,0.0004357,0.0004357,0.0004357
59,3981.44,0.68147,0.41539,0.8489,0.93967,0.79524,0.85519,0.69103,0.63008,0.37363,0.83954,0.0004258,0.0004258,0.0004258
60,4042.72,0.68206,0.41355,0.84859,0.91462,0.81603,0.85845,0.69368,0.62929,0.37036,0.83871,0.0004159,0.0004159,0.0004159
61,4087.4,0.68556,0.41507,0.85015,0.91322,0.81643,0.86078,0.69739,0.62599,0.36944,0.83718,0.000406,0.000406,0.000406
62,4287.63,0.68268,0.41382,0.8492,0.94992,0.79111,0.86101,0.69826,0.62611,0.36733,0.83821,0.0003961,0.0003961,0.0003961
63,4339.1,0.67871,0.40882,0.84831,0.94489,0.79946,0.85882,0.69843,0.62213,0.36609,0.83643,0.0003862,0.0003862,0.0003862
64,4416.26,0.67805,0.40961,0.84848,0.93902,0.80483,0.86267,0.70082,0.62108,0.3643,0.83624,0.0003763,0.0003763,0.0003763
65,4458.11,0.6745,0.40798,0.84827,0.95049,0.79627,0.85704,0.69862,0.62027,0.36341,0.83606,0.0003664,0.0003664,0.0003664
66,4546.53,0.67327,0.40677,0.84675,0.94391,0.81114,0.85866,0.69769,0.62071,0.36168,0.83579,0.0003565,0.0003565,0.0003565
67,4598.09,0.67133,0.40587,0.84691,0.93268,0.8128,0.86668,0.70305,0.61422,0.359,0.83508,0.0003466,0.0003466,0.0003466
68,4858.84,0.67078,0.40362,0.84681,0.93674,0.79309,0.85618,0.69427,0.61836,0.36316,0.83552,0.0003367,0.0003367,0.0003367
69,4948.36,0.67397,0.40394,0.84789,0.94625,0.81164,0.8632,0.69707,0.61873,0.36452,0.83586,0.0003268,0.0003268,0.0003268
70,4998.77,0.66994,0.40201,0.84592,0.95954,0.81677,0.86835,0.70548,0.61412,0.35849,0.83414,0.0003169,0.0003169,0.0003169
71,5042.02,0.66617,0.4004,0.8457,0.9043,0.82657,0.86426,0.70418,0.6135,0.36062,0.8354,0.000307,0.000307,0.000307
72,5106.21,0.66728,0.40097,0.84591,0.92448,0.81361,0.86511,0.70385,0.6113,0.35639,0.83412,0.0002971,0.0002971,0.0002971
73,5199.09,0.66756,0.4013,0.84675,0.94423,0.80984,0.86861,0.70814,0.60732,0.35513,0.83346,0.0002872,0.0002872,0.0002872
74,5241.35,0.66339,0.39711,0.84452,0.91143,0.82205,0.86627,0.70561,0.60373,0.35389,0.83295,0.0002773,0.0002773,0.0002773
75,5293.36,0.65977,0.3957,0.84527,0.90274,0.83436,0.86727,0.71055,0.6045,0.35259,0.83317,0.0002674,0.0002674,0.0002674
76,5359.91,0.6588,0.394,0.8435,0.91957,0.81872,0.86381,0.70788,0.60579,0.35354,0.83209,0.0002575,0.0002575,0.0002575
77,5408.33,0.6576,0.39373,0.84354,0.92348,0.81868,0.86698,0.70792,0.60429,0.35415,0.83251,0.0002476,0.0002476,0.0002476
78,5519.01,0.65555,0.3924,0.84315,0.93373,0.81176,0.8651,0.70799,0.60417,0.3544,0.83275,0.0002377,0.0002377,0.0002377
79,5579.88,0.65175,0.39031,0.84299,0.93351,0.82817,0.875,0.71119,0.60267,0.35166,0.83205,0.0002278,0.0002278,0.0002278
80,5639.78,0.65331,0.39058,0.84133,0.89361,0.83545,0.87104,0.71201,0.59813,0.34941,0.83069,0.0002179,0.0002179,0.0002179
81,5782.71,0.64845,0.38808,0.84224,0.91619,0.82413,0.86859,0.71209,0.59789,0.34869,0.8312,0.000208,0.000208,0.000208
82,5826.45,0.65024,0.38809,0.84221,0.89843,0.83291,0.86996,0.71084,0.59874,0.34995,0.83106,0.0001981,0.0001981,0.0001981
83,5895.21,0.64949,0.3866,0.84185,0.9208,0.83415,0.87282,0.71516,0.59767,0.34731,0.83043,0.0001882,0.0001882,0.0001882
84,5950.37,0.64855,0.38693,0.84226,0.9474,0.81063,0.8711,0.71331,0.59614,0.34941,0.83035,0.0001783,0.0001783,0.0001783
85,6003.03,0.64645,0.38588,0.84165,0.91694,0.82068,0.8676,0.71411,0.59672,0.34826,0.8305,0.0001684,0.0001684,0.0001684
86,6046.08,0.6439,0.38439,0.84169,0.93858,0.81336,0.86781,0.71548,0.59478,0.34672,0.82994,0.0001585,0.0001585,0.0001585
87,6089.74,0.64063,0.38186,0.84019,0.93928,0.81302,0.86796,0.71537,0.5938,0.34637,0.82958,0.0001486,0.0001486,0.0001486
88,6149.05,0.63944,0.37916,0.83867,0.90116,0.82622,0.87221,0.71483,0.59471,0.34543,0.82961,0.0001387,0.0001387,0.0001387
89,6218.97,0.63967,0.38004,0.83909,0.90607,0.82881,0.87191,0.71698,0.59103,0.34318,0.82892,0.0001288,0.0001288,0.0001288
90,6306.74,0.63579,0.37788,0.83937,0.93396,0.82912,0.87111,0.71849,0.59246,0.34355,0.82926,0.0001189,0.0001189,0.0001189
91,6367.01,0.60994,0.35513,0.83807,0.93097,0.8323,0.86944,0.7123,0.59854,0.34827,0.83088,0.000109,0.000109,0.000109
92,6405.5,0.60277,0.34983,0.8372,0.90721,0.83588,0.87046,0.71525,0.59445,0.34452,0.82963,9.91e-05,9.91e-05,9.91e-05
93,6443.04,0.5997,0.34791,0.83675,0.9179,0.83074,0.87201,0.7167,0.59041,0.34147,0.8287,8.92e-05,8.92e-05,8.92e-05
94,6480.45,0.59716,0.3463,0.83552,0.92404,0.82937,0.86969,0.71749,0.59161,0.34227,0.8294,7.93e-05,7.93e-05,7.93e-05
95,6519.13,0.59227,0.34321,0.8346,0.90993,0.83208,0.8755,0.72082,0.58758,0.33969,0.82801,6.94e-05,6.94e-05,6.94e-05
96,6558.05,0.59063,0.34206,0.83483,0.92621,0.8302,0.87193,0.71872,0.5873,0.33997,0.82781,5.95e-05,5.95e-05,5.95e-05
97,6596.15,0.59076,0.34186,0.83443,0.90539,0.84068,0.87519,0.72156,0.58633,0.33915,0.82811,4.96e-05,4.96e-05,4.96e-05
98,6635.32,0.58797,0.34026,0.83393,0.9004,0.84693,0.87684,0.72092,0.58527,0.33833,0.82799,3.97e-05,3.97e-05,3.97e-05
99,6674.07,0.58504,0.33824,0.83304,0.91731,0.83901,0.87725,0.7208,0.58517,0.33832,0.82801,2.98e-05,2.98e-05,2.98e-05
100,6713.24,0.58566,0.33829,0.8331,0.92082,0.83773,0.87709,0.72133,0.58439,0.33743,0.8277,1.99e-05,1.99e-05,1.99e-05
